image,input names,sigma,psnr
1,noisy,0.05,22.443889166925047
1,deconv,0.05,16.872043435395152
1,neural,0.05,20.45803010999673
1,deconv_neural,0.05,22.50436983276372
2,noisy,0.05,18.34449122884081
2,deconv,0.05,16.993538900731405
2,neural,0.05,19.90767173312717
2,deconv_neural,0.05,22.787819220615738
3,noisy,0.05,13.85188980787733
3,deconv,0.05,16.384892349115276
3,neural,0.05,17.54816131092516
3,deconv_neural,0.05,20.409348764379732
4,noisy,0.05,12.063407752302982
4,deconv,0.05,15.857683686067148
4,neural,0.05,15.50400175668239
4,deconv_neural,0.05,18.144207338740742
5,noisy,0.05,14.0133811899709
5,deconv,0.05,16.643424212670485
5,neural,0.05,17.31600919401114
5,deconv_neural,0.05,20.14058039933181
