image,optimal stopping point (deconv),maximum psnr (deconv),optimal stopping point (neural),maximum psnr (neural),optimal stopping point (deconv_neural),maximum psnr (deconv_neural)
0,2618,33.38278615557237,1128,31.90457740488106,1595,35.6510538185841
1,3305,25.546419128077908,1594,19.243638958147585,2422,22.346608131645198
2,2917,30.14898869746038,1073,25.96982897557091,1965,29.183366449755557
3,2243,26.292452443030673,1009,20.41317173261173,1661,23.35563328607432
4,3057,23.830204421839074,1281,17.011792535565398,1602,19.974746238271766
