input,initial psnr,optimal stopping point,maximum psnr
noisy,23.626184557350527,4007,26.933007995572346
deconv,15.378975624416542,1527,29.800609633096997
neural,19.052898915989754,1132,28.932748445667823
deconv_neural,21.073984208835274,1455,29.846474305773093
Gaussian_filt,26.50925683847297,5993,26.613165919587843
Median_filt,26.216010146137045,5364,26.702736135957924
bilateral,26.171660449561834,5034,26.52597649175748
