input,initial psnr,optimal stopping point,maximum psnr
noisy,25.403049694618225,5998,25.48990146285552
deconv,28.46519168447948,5994,32.72517245154151
neural,28.84756397376776,5968,29.068304905114374
deconv_neural,31.30077643781663,5999,30.841772213836585
Gaussian_filt,24.832092797310132,5998,24.66832499120111
Median_filt,25.17665427837233,5998,25.05451753047007
bilateral,24.992236512165622,5986,24.859810616711474
