input,initial psnr,optimal stopping point,maximum psnr
noisy,22.784847786207102,4122,25.182780023581714
deconv,15.6395015150037,1743,27.293707579059063
neural,19.01666328874504,1143,26.11435635878899
deconv_neural,21.12239783061834,1587,27.036273460119876
Gaussian_filt,24.581520660036475,5999,24.568143253070595
Median_filt,24.511384356590064,5999,24.774917634227286
bilateral,24.555984149099935,5983,24.713909121435016
