input,initial psnr,optimal stopping point,maximum psnr
noisy,30.396011410621956,2701,32.881488980578915
deconv,23.142394009233875,2341,38.4719658906066
neural,28.06272032144472,2262,38.25895518526538
deconv_neural,30.31802350621436,2514,39.732256203307244
Gaussian_filt,32.358031873544434,5987,32.52653112292986
Median_filt,32.32286777626616,4495,32.81259136347315
bilateral,31.64079589454174,5189,31.922100308837315
