input,initial psnr,optimal stopping point,maximum psnr
noisy,27.11882212048204,5997,27.25827457596737
deconv,28.692036925452378,5882,35.254982398275665
neural,32.796924423830134,5993,33.0362974497197
deconv_neural,34.122765460362174,5998,34.45322182830128
Gaussian_filt,26.907694497544465,5999,26.77712099397268
Median_filt,27.090096762780945,5997,27.023166699732364
bilateral,26.833969505008056,5996,26.738094777311467
