input,initial psnr,optimal stopping point,maximum psnr
noisy,14.192954075380285,1180,14.330656579208313
deconv,22.526078636003362,3305,25.546419128077908
neural,18.75567914365462,1594,19.243638958147585
deconv_neural,21.94306797928619,2422,22.346608131645198
