input,initial psnr,optimal stopping point,maximum psnr
noisy,14.051557366173055,925,14.170725900201921
deconv,22.331032064674066,2243,26.292452443030673
neural,19.58962182415842,1009,20.41317173261173
deconv_neural,22.5732473763469,1661,23.35563328607432
