input,initial psnr,optimal stopping point,maximum psnr
noisy,18.85734601460582,787,19.150801989219268
deconv,23.7748900545523,2917,30.14898869746038
neural,24.273053998418828,1073,25.96982897557091
deconv_neural,27.445853683958738,1965,29.183366449755557
