input,initial psnr,optimal stopping point,maximum psnr
noisy,12.209002753397012,867,12.303153600810512
deconv,21.170746286605496,3057,23.830204421839074
neural,16.567655504389606,1281,17.011792535565398
deconv_neural,19.584044668624575,1602,19.974746238271766
