image,optimal stopping point (deconv),maximum psnr (deconv),optimal stopping point (neural),maximum psnr (neural),optimal stopping point (deconv_neural),maximum psnr (deconv_neural)
1,1931,26.333839484414344,1087,29.285873820723705,1258,33.12216766038131
2,2063,24.62583343628877,1044,24.89612489244887,1280,28.10696678955024
3,1621,22.993056402082566,959,20.060823857549593,1166,22.645894839339455
4,1617,21.35722631027944,1060,16.845861061209504,1208,19.353587714078554
5,1905,21.981005739877858,1415,18.877494877979547,1753,21.590022455518522
