input,initial psnr,optimal stopping point,maximum psnr
noisy,22.443889166925047,696,24.741324918961265
deconv,16.872043435395152,1931,26.333839484414344
neural,20.45803010999673,1087,29.285873820723705
deconv_neural,22.50436983276372,1258,33.12216766038131
