input,initial psnr,optimal stopping point,maximum psnr
noisy,12.063407752302982,974,12.3003940948781
deconv,15.857683686067148,1617,21.35722631027944
neural,15.50400175668239,1060,16.845861061209504
deconv_neural,18.144207338740742,1208,19.353587714078554
