input,initial psnr,optimal stopping point,maximum psnr
noisy,14.0133811899709,1177,14.278932256309162
deconv,16.643424212670485,1905,21.981005739877858
neural,17.31600919401114,1415,18.877494877979547
deconv_neural,20.14058039933181,1753,21.590022455518522
