input,initial psnr,optimal stopping point,maximum psnr
noisy,18.34449122884081,732,19.085103767075715
deconv,16.993538900731405,2063,24.62583343628877
neural,19.90767173312717,1044,24.89612489244887
deconv_neural,22.787819220615738,5794,28.283773356198818
